SERIAL_NUMBER,LIST_YEAR,DATE_RECORDED,TOWN,ADDRESS,ASSESSED_VALUE,SALE_AMOUNT,SALES_RATIO,PROPERTY_TYPE,RESIDENTIAL_TYPE,NON_USE_CODE,ASSESSOR_REMARKS,OPM_REMARKS,LOCATION,CREATED_AT
40323,2004,2005-07-29,Clinton,10 1 CANTERBURY LN,433700.0,139900.0,3.10007148,,,7,,,,2023-06-09 15:22:16.839850
40562,2004,2005-08-04,Southbury,8 GETTYSBURG RD,314180.0,543688.0,0.577868189,,,7,,,,2023-06-09 15:32:11.707834
40593,2004,2005-07-13,Groton,113 DARTMOUTH DR,83300.0,221000.0,0.376923077,,,,,,POINT (-71.98766 41.37419),2023-06-09 15:05:11.681631
40488,2004,2005-07-20,New London,73 MOUNTAIN AVE,109900.0,230000.0,0.477826087,,,,,,,2023-06-09 15:13:12.007931
40535,2004,2005-08-16,Wethersfield,65 STATE ST,119400.0,240000.0,0.4975,,,,,,,2023-06-09 15:41:11.727517
41218,2004,2005-07-22,Bristol,195 PERKINS ST,116770.0,190000.0,0.614578947,,,25,,,,2023-06-09 15:15:11.820529
42844,2004,2005-07-13,Bridgeport,43 ROSEMARY DR,130691.0,302500.0,0.432036364,,,,,,,2023-06-09 15:06:16.712913
41002,2004,2005-07-08,Milford,67 WAVERLY AVE,98420.0,269900.0,0.364653575,,,,,,,2023-06-09 15:02:11.704908
40810,2004,2005-08-02,New Milford,105 OLD RDG RD,245770.0,420000.0,0.585166667,,,,,,,2023-06-09 15:28:16.713768
42278,2004,2005-07-05,Stamford,51 HOPE ST 17D,102270.0,339700.0,0.301059759,,,,,,,2023-06-09 14:57:11.729739
40554,2004,2005-08-02,Southbury,8 BOULDER WAY,457080.0,860000.0,0.531488372,,,,,,,2023-06-09 15:28:16.713768
42042,2004,2005-08-15,Norwalk,105 RICHARDS AVE,196070.0,379250.0,0.516994067,,,,,,POINT (-73.45236 41.09675),2023-06-09 15:39:11.845186
40394,2004,2005-08-05,Monroe,383 PURDY HL RD,227220.0,474900.0,0.478458623,,,,,,,2023-06-09 15:33:11.789050
40276,2004,2005-07-08,East Windsor,6 STEPPING STONE DR,32260.0,100000.0,0.3226,,,7,,,,2023-06-09 15:01:16.702198
40484,2004,2005-06-30,Southbury,175 SHORT ROCK RD,340620.0,540000.0,0.630777778,,,,,,,2023-06-09 14:52:56.443116
41965,2004,2005-08-03,Norwalk,208 FLAX HL RD,122710.0,306000.0,0.401013072,,,,,,,2023-06-09 15:31:11.867138
41010,2004,2005-08-11,West Haven,32 MOHAWK DR,80080.0,140000.0,0.572,,,,,,,2023-06-09 15:38:16.691129
40106,2004,2005-07-07,Washington,75 W MOUNTAIN RD,473210.0,3499999.0,0.135202896,,,7,,,,2023-06-09 15:01:16.702198
40160,2004,2005-07-05,Haddam,189 FILLEY RD,149490.0,250000.0,0.59796,,,7,,,,2023-06-09 14:58:16.755857
41803,2004,2005-07-19,Norwalk,105 RICHARDS AVE,200900.0,360000.0,0.558055556,,,,,,POINT (-73.45236 41.09675),2023-06-09 15:11:16.848419
41021,2004,2005-07-13,Milford,46 MEADOW PARK DR,107800.0,220000.0,0.49,,,1,,,,2023-06-09 15:05:11.681631
43176,2004,2005-08-12,Bridgeport,111 5 WAKE ST,96110.0,225000.0,0.427155556,,,,,,,2023-06-09 15:38:16.691129
40588,2004,2005-08-05,East Haven,202-204 HEMINGWAY AVE,115010.0,254000.0,0.452795276,,,,,,,2023-06-09 15:34:12.013441
41142,2004,2005-07-26,Greenwich,510 VALLEY RD,646730.0,1640000.0,0.394347561,,,8,,,,2023-06-09 15:18:16.806490
40400,2004,2005-08-01,Darien,2 SQUAB LN,364760.0,413600.0,0.881914894,,,1,,,,2023-06-09 15:27:16.688004
42751,2004,2005-07-19,Waterbury,224 HERITAGE DR,108780.0,225000.0,0.483466667,,,,,,,2023-06-09 15:12:16.759543
40054,2004,2005-07-01,Chester,1 BATES LN,154400.0,289900.0,0.532597447,,,,,,,2023-06-09 14:53:16.865376
40206,2004,2005-08-11,Orange,351 GRASSY HL RD,138300.0,390000.0,0.354615385,,,,,,,2023-06-09 15:37:16.718357
40103,2004,2005-08-15,Bethany,14 GLENWOOD CT,259390.0,470000.0,0.551893617,,,,,,,2023-06-09 15:40:11.705161
43158,2004,2005-08-11,Bridgeport,71 3 LIVINGSTON PL,160720.0,324900.0,0.494675285,,,,,,,2023-06-09 15:38:16.691129
41687,2004,2005-07-25,Danbury,25 PADANARAM RD 1,55900.0,172000.0,0.325,,,,,,,2023-06-09 15:17:16.778949
40309,2004,2005-07-07,Seymour,32 UNION ST,131180.0,345000.0,0.380231884,,,,,,,2023-06-09 15:00:16.725052
40287,2004,2005-07-18,Canton,BAHRE COR RD,4130.0,12000.0,0.344166667,,,12,,,,2023-06-09 15:09:16.693684
40311,2004,2005-07-12,Plainville,24 PEACH ORCH HL,168920.0,320000.0,0.527875,,,,,,POINT (-72.88184 41.68963),2023-06-09 15:04:16.784212
40313,2004,2005-08-04,Old Saybrook,215 ELM ST,271600.0,320000.0,0.84875,,,,,,POINT (-72.39372 41.29912),2023-06-09 15:32:11.707834
42794,2004,2005-08-15,Stamford,28 LILIAN ST,129080.0,590000.0,0.218779661,,,,,,,2023-06-09 15:40:11.705161
40892,2004,2005-07-08,West Haven,114 YATES ST,46760.0,270000.0,0.173185185,,,7,,,,2023-06-09 15:01:16.702198
40964,2004,2005-08-15,East Hartford,27 MOORE AVE,66750.0,159900.0,0.417448405,,,,,,,2023-06-09 15:41:11.727517
41975,2004,2005-08-01,Southington,ST ARMAND ESTS 5,10850.0,283207.0,0.0383112,,,7,,,,2023-06-09 15:25:11.704556
40197,2004,2005-07-01,North Branford,75 SQUIRE DR,202440.0,415000.0,0.487807229,,,,,,,2023-06-09 14:54:16.661736
